#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 4 remain 4 wait 0
At time 2 process 1 stopped arr 1 total 4 remain 3 wait 0
At time 3 process 2 started arr 1 total 4 remain 4 wait 2
At time 4 process 2 stopped arr 1 total 4 remain 3 wait 2
At time 5 process 3 started arr 1 total 4 remain 4 wait 4
At time 6 process 3 stopped arr 1 total 4 remain 3 wait 4
At time 7 process 4 started arr 1 total 4 remain 4 wait 6
At time 8 process 4 stopped arr 1 total 4 remain 3 wait 6
At time 9 process 5 started arr 1 total 4 remain 4 wait 8
At time 10 process 5 stopped arr 1 total 4 remain 3 wait 8
At time 11 process 6 started arr 1 total 4 remain 4 wait 10
At time 12 process 6 stopped arr 1 total 4 remain 3 wait 10
At time 13 process 7 started arr 1 total 4 remain 4 wait 12
At time 14 process 7 stopped arr 1 total 4 remain 3 wait 12
At time 15 process 8 started arr 1 total 4 remain 4 wait 14
At time 16 process 8 stopped arr 1 total 4 remain 3 wait 14
At time 17 process 9 started arr 1 total 4 remain 4 wait 16
At time 18 process 9 stopped arr 1 total 4 remain 3 wait 16
At time 19 process 10 started arr 1 total 4 remain 4 wait 18
At time 20 process 10 stopped arr 1 total 4 remain 3 wait 18
At time 21 process 11 started arr 1 total 4 remain 4 wait 20
At time 22 process 11 stopped arr 1 total 4 remain 3 wait 20
At time 23 process 12 started arr 1 total 4 remain 4 wait 22
At time 24 process 12 stopped arr 1 total 4 remain 3 wait 22
At time 25 process 13 started arr 1 total 4 remain 4 wait 24
